date,time,location_id,product_id,qty
9/20/2016,13:43,246,12,5
5/10/2014,15:26,32,55,9
6/14/2013,13:31,427,22,1
11/28/2013,10:36,146,40,2
12/23/2016,12:10,50,50,3
6/15/2016,10:13,105,2,1
6/25/2015,15:29,74,47,6
10/23/2014,14:33,10,51,9
5/26/2013,9:35,282,31,9
11/16/2014,14:35,407,48,3
1/10/2013,10:38,166,26,6
1/5/2015,14:05,94,7,9
3/8/2014,10:04,266,27,6
8/19/2013,14:09,509,48,6
12/25/2016,12:10,177,53,8
2/21/2015,10:42,95,8,10
2/26/2014,9:52,195,44,8
5/24/2014,11:09,391,25,5
8/30/2016,12:41,497,15,4
9/24/2016,16:03,254,12,1
3/8/2015,15:17,134,20,8
12/9/2013,14:05,250,43,8
1/14/2016,12:22,504,10,8
4/19/2013,15:44,327,12,9
8/19/2013,15:58,153,27,5
3/30/2016,10:14,365,30,2
3/16/2016,13:37,98,28,5
5/5/2016,16:43,7,43,5
9/10/2016,11:37,502,57,3
5/9/2013,10:01,254,55,2
11/9/2016,12:40,154,54,4
7/15/2015,13:34,543,22,6
4/18/2014,11:41,439,34,6
6/28/2016,11:49,157,1,1
6/16/2016,16:32,122,5,9
8/9/2016,10:15,201,10,9
7/1/2015,16:55,96,49,4
12/27/2013,13:40,169,24,4
8/14/2016,15:11,276,9,8
5/20/2014,14:56,352,7,2
9/23/2016,11:49,95,32,1
7/30/2015,12:17,241,51,9
4/24/2014,16:18,548,15,5
8/10/2014,12:47,53,7,4
8/5/2013,14:22,301,57,6
7/1/2013,14:21,536,23,9
12/26/2014,10:55,535,16,2
12/9/2013,9:10,552,37,5
1/20/2017,9:32,88,3,7
10/2/2013,13:28,413,46,9
6/2/2014,9:12,548,53,9
10/17/2016,16:49,199,34,6
2/18/2015,9:03,360,52,10
10/18/2015,10:54,418,10,7
11/22/2013,13:15,342,31,10
1/18/2016,15:44,327,37,4
3/24/2015,13:33,13,1,3
3/10/2014,10:01,70,3,6
12/11/2015,16:41,375,40,2
6/7/2016,13:11,95,18,5
1/14/2017,13:03,201,39,8
1/8/2014,16:56,377,24,2
4/13/2016,14:00,341,3,4
7/18/2014,14:56,237,44,6
10/26/2013,13:18,386,6,8
10/9/2015,10:47,220,12,4
4/29/2013,12:56,91,37,4
10/27/2015,14:23,443,28,8
8/20/2014,12:25,524,56,7
12/21/2014,16:05,206,48,3
9/27/2016,15:13,405,14,7
11/1/2013,9:40,367,42,1
5/18/2013,9:48,157,40,8
8/11/2016,11:30,328,41,7
3/8/2016,15:21,437,24,4
10/2/2014,12:13,238,25,2
3/27/2013,9:09,263,43,7
4/13/2014,12:13,528,45,7
1/3/2015,14:52,47,53,6
5/9/2016,9:58,432,25,1
6/12/2013,11:44,183,39,8
9/12/2015,15:31,179,56,5
1/2/2015,15:36,418,54,9
12/12/2013,16:45,160,46,7
3/12/2016,14:46,382,11,8
